uni	pathway	url
A0A183	Formation of the cornified envelope	http://reactome.org/PathwayBrowser/#/R-HSA-6809371
A0AVF1	Intraflagellar transport	http://reactome.org/PathwayBrowser/#/R-HSA-5620924
A0AVF1	Intraflagellar transport	http://reactome.org/PathwayBrowser/#/R-HSA-5620924
A0AVT1	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-8866652
A0AVT1	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-8866652
A0AVT1	Antigen processing: Ubiquitination & Proteasome degradation	http://reactome.org/PathwayBrowser/#/R-HSA-983168
A0FGR8	Glycosphingolipid metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-1660662
A0FGR9	Glycosphingolipid metabolism	http://reactome.org/PathwayBrowser/#/R-HSA-1660662
A0JLT2	PPARA activates gene expression	http://reactome.org/PathwayBrowser/#/R-HSA-1989781
A0JLT2	Transcriptional regulation of white adipocyte differentiation	http://reactome.org/PathwayBrowser/#/R-HSA-381340
A0JLT2	Transcriptional regulation of white adipocyte differentiation	http://reactome.org/PathwayBrowser/#/R-HSA-381340
A0M8Q6	Initial triggering of complement	http://reactome.org/PathwayBrowser/#/R-HSA-166663
A0M8Q6	Classical antibody-mediated complement activation	http://reactome.org/PathwayBrowser/#/R-HSA-173623
A0M8Q6	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	http://reactome.org/PathwayBrowser/#/R-HSA-198933
A0M8Q6	FCGR activation	http://reactome.org/PathwayBrowser/#/R-HSA-2029481
A0M8Q6	FCGR activation	http://reactome.org/PathwayBrowser/#/R-HSA-2029481
A0M8Q6	Regulation of actin dynamics for phagocytic cup formation	http://reactome.org/PathwayBrowser/#/R-HSA-2029482
A0M8Q6	Role of phospholipids in phagocytosis	http://reactome.org/PathwayBrowser/#/R-HSA-2029485
A0M8Q6	Scavenging of heme from plasma	http://reactome.org/PathwayBrowser/#/R-HSA-2168880
A0M8Q6	Fc epsilon receptor (FCERI) signaling	http://reactome.org/PathwayBrowser/#/R-HSA-2454202
A0M8Q6	Fc epsilon receptor (FCERI) signaling	http://reactome.org/PathwayBrowser/#/R-HSA-2454202
A0M8Q6	Role of LAT2/NTAL/LAB on calcium mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2730905
A0M8Q6	Role of LAT2/NTAL/LAB on calcium mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2730905
A0M8Q6	FCERI mediated MAPK activation	http://reactome.org/PathwayBrowser/#/R-HSA-2871796
A0M8Q6	FCERI mediated Ca+2 mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2871809
A0M8Q6	FCERI mediated Ca+2 mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2871809
A0M8Q6	FCERI mediated NF-kB activation	http://reactome.org/PathwayBrowser/#/R-HSA-2871837
A0M8Q6	CD22 mediated BCR regulation	http://reactome.org/PathwayBrowser/#/R-HSA-5690714
A0M8Q6	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-983695
A0M8Q6	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-983695
A0MZ66	Recycling pathway of L1	http://reactome.org/PathwayBrowser/#/R-HSA-437239
A0PJK1	Hexose transport	http://reactome.org/PathwayBrowser/#/R-HSA-189200
A1A4S6	Rho GTPase cycle	http://reactome.org/PathwayBrowser/#/R-HSA-194840
A1A4S6	Regulation of PAK-2p34 activity by PS-GAP/RHG10	http://reactome.org/PathwayBrowser/#/R-HSA-211728
A1A580	Keratinization	http://reactome.org/PathwayBrowser/#/R-HSA-6805567
A1A5B4	Stimuli-sensing channels	http://reactome.org/PathwayBrowser/#/R-HSA-2672351
A1E959	Amyloid fiber formation	http://reactome.org/PathwayBrowser/#/R-HSA-977225
A1IGU5	NRAGE signals death through JNK	http://reactome.org/PathwayBrowser/#/R-HSA-193648
A1IGU5	Rho GTPase cycle	http://reactome.org/PathwayBrowser/#/R-HSA-194840
A1IGU5	G alpha (12/13) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-416482
A1L190	Meiotic synapsis	http://reactome.org/PathwayBrowser/#/R-HSA-1221632
A1L3X0	Synthesis of very long-chain fatty acyl-CoAs	http://reactome.org/PathwayBrowser/#/R-HSA-75876
A2KUC3	Initial triggering of complement	http://reactome.org/PathwayBrowser/#/R-HSA-166663
A2KUC3	Classical antibody-mediated complement activation	http://reactome.org/PathwayBrowser/#/R-HSA-173623
A2KUC3	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	http://reactome.org/PathwayBrowser/#/R-HSA-198933
A2KUC3	FCGR activation	http://reactome.org/PathwayBrowser/#/R-HSA-2029481
A2KUC3	FCGR activation	http://reactome.org/PathwayBrowser/#/R-HSA-2029481
A2KUC3	Regulation of actin dynamics for phagocytic cup formation	http://reactome.org/PathwayBrowser/#/R-HSA-2029482
A2KUC3	Role of phospholipids in phagocytosis	http://reactome.org/PathwayBrowser/#/R-HSA-2029485
A2KUC3	Scavenging of heme from plasma	http://reactome.org/PathwayBrowser/#/R-HSA-2168880
A2KUC3	Fc epsilon receptor (FCERI) signaling	http://reactome.org/PathwayBrowser/#/R-HSA-2454202
A2KUC3	Fc epsilon receptor (FCERI) signaling	http://reactome.org/PathwayBrowser/#/R-HSA-2454202
A2KUC3	Role of LAT2/NTAL/LAB on calcium mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2730905
A2KUC3	Role of LAT2/NTAL/LAB on calcium mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2730905
A2KUC3	FCERI mediated MAPK activation	http://reactome.org/PathwayBrowser/#/R-HSA-2871796
A2KUC3	FCERI mediated Ca+2 mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2871809
A2KUC3	FCERI mediated Ca+2 mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2871809
A2KUC3	FCERI mediated NF-kB activation	http://reactome.org/PathwayBrowser/#/R-HSA-2871837
A2KUC3	CD22 mediated BCR regulation	http://reactome.org/PathwayBrowser/#/R-HSA-5690714
A2KUC3	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-983695
A2KUC3	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-983695
A2NJV5	Initial triggering of complement	http://reactome.org/PathwayBrowser/#/R-HSA-166663
A2NJV5	Classical antibody-mediated complement activation	http://reactome.org/PathwayBrowser/#/R-HSA-173623
A2NJV5	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	http://reactome.org/PathwayBrowser/#/R-HSA-198933
A2NJV5	FCGR activation	http://reactome.org/PathwayBrowser/#/R-HSA-2029481
A2NJV5	FCGR activation	http://reactome.org/PathwayBrowser/#/R-HSA-2029481
A2NJV5	Regulation of actin dynamics for phagocytic cup formation	http://reactome.org/PathwayBrowser/#/R-HSA-2029482
A2NJV5	Role of phospholipids in phagocytosis	http://reactome.org/PathwayBrowser/#/R-HSA-2029485
A2NJV5	Scavenging of heme from plasma	http://reactome.org/PathwayBrowser/#/R-HSA-2168880
A2NJV5	Fc epsilon receptor (FCERI) signaling	http://reactome.org/PathwayBrowser/#/R-HSA-2454202
A2NJV5	Fc epsilon receptor (FCERI) signaling	http://reactome.org/PathwayBrowser/#/R-HSA-2454202
A2NJV5	Role of LAT2/NTAL/LAB on calcium mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2730905
A2NJV5	Role of LAT2/NTAL/LAB on calcium mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2730905
A2NJV5	FCERI mediated MAPK activation	http://reactome.org/PathwayBrowser/#/R-HSA-2871796
A2NJV5	FCERI mediated Ca+2 mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2871809
A2NJV5	FCERI mediated Ca+2 mobilization	http://reactome.org/PathwayBrowser/#/R-HSA-2871809
