geneid,probe,score,numerator,denominator,fold-change,qval,gds,type
g18,1552263_at,0.006,0.008,1.31,1.001,85.714,4523,up
g16,1552258_at,0.006,0.008,1.321,1.001,85.714,4523,up
g46,1552306_at,0.006,0.008,1.3,1.001,85.714,4523,up
g8,1320_at,0.006,0.007,1.281,1.001,85.714,4523,up
g20,1552266_at,0.005,0.007,1.307,1.001,85.714,4523,up
g44,1552303_a_at,0.005,0.006,1.248,1.001,85.714,4523,up
g22,1552271_at,0.005,0.006,1.281,1.001,85.714,4523,up
g26,1552301_a_at,0.024,0.025,1.067,1.004,0,4522,up
g30,1552310_at,0.024,0.025,1.047,1.004,0,4522,up
g38,1552330_at,0.022,0.024,1.06,1.004,0,4522,up
g33,1552319_a_at,0.021,0.022,1.042,1.004,0,4522,up
g37,1552329_at,0.021,0.022,1.049,1.004,0,4522,up
g36,1552327_at,0.021,0.022,1.06,1.004,0,4522,up
g35,1552323_s_at,0.02,0.022,1.064,1.003,0,4522,up
g39,1552343_s_at,0.02,0.021,1.064,1.003,0,4522,up
g20,1552279_a_at,0.02,0.021,1.062,1.003,0,4522,up
g24,1552291_at,0.019,0.02,1.069,1.003,0,4522,up
g28,1552303_a_at,0.019,0.019,1.046,1.003,0,4522,up
g32,1552316_a_at,0.018,0.018,1.035,1.003,0,4522,up
g21,1552283_s_at,0.018,0.018,1.033,1.003,0,4522,up
g15,1552272_a_at,0.017,0.018,1.054,1.003,0,4522,up
g1,1007_s_at,0.017,0.018,1.069,1.003,0,4522,up
g27,1552302_at,0.016,0.017,1.064,1.003,0,4522,up
g40,1552347_at,0.016,0.017,1.063,1.003,0,4522,up
g1,1007_s_at,0.011,0.035,3.343,1.004,0,4218,up
g2,1053_at,0.01,0.033,3.377,1.004,0,4218,up
g6,1294_at,0.009,0.032,3.649,1.004,0,4218,up
g22,1552271_at,0.02,0.039,1.914,1.005,0,4136,up
g10,1431_at,0.017,0.033,1.935,1.004,0,4136,up
g8,1320_at,0.016,0.032,1.957,1.004,0,4136,up
g18,1552263_at,0.014,0.026,1.907,1.003,0,4136,up
g3,117_at,0.013,0.024,1.877,1.003,0,4136,up
g20,1552266_at,0.012,0.024,1.949,1.003,0,4136,up
g29,1552279_a_at,0.01,0.02,1.948,1.003,15.833,4136,up
g12,1487_at,0.01,0.018,1.923,1.002,15.833,4136,up
g35,1552288_at,0.018,0.004,0.239,1.002,0,5204,up
g22,1552271_at,0.017,0.004,0.241,1.002,0,5204,up
g39,1552295_a_at,0.017,0.004,0.243,1.002,0,5204,up
g12,1487_at,0.017,0.004,0.247,1.002,0,5204,up
g15,1552257_a_at,0.017,0.004,0.243,1.002,0,5204,up
g33,1552286_at,0.017,0.004,0.24,1.002,0,5204,up
g31,1552281_at,0.015,0.004,0.245,1.002,0,5204,up
g9,1405_i_at,0.015,0.004,0.243,1.002,0,5204,up
g37,1552291_at,0.015,0.004,0.243,1.002,0,5204,up
g34,1552287_s_at,0.015,0.004,0.244,1.002,0,5204,up
g32,1552283_s_at,0.015,0.004,0.244,1.002,0,5204,up
g38,1552293_at,0.015,0.004,0.243,1.002,0,5204,up
g8,1320_at,0.015,0.004,0.244,1.002,0,5204,up
g16,1552258_at,0.014,0.004,0.247,1.002,0,5204,up
g18,1552263_at,0.014,0.003,0.245,1.001,0,5204,up
g30,1552280_at,0.014,0.003,0.248,1.001,0,5204,up
g36,1552289_a_at,0.014,0.003,0.245,1.001,0,5204,up
g24,1552274_at,0.014,0.004,0.254,1.002,0,5204,up
g23,1552272_a_at,0.014,0.003,0.244,1.001,0,5204,up
g40,1552296_at,0.014,0.003,0.243,1.001,0,5204,up
g3,117_at,0.014,0.003,0.248,1.001,0,5204,up
g14,1552256_a_at,0.014,0.003,0.254,1.001,0,5204,up
g4,121_at,0.013,0.003,0.245,1.001,0,5204,up
g6,1294_at,0.013,0.003,0.243,1.001,0,5204,up
g21,1552269_at,0.013,0.003,0.244,1.001,0,5204,up
g13,1494_f_at,0.013,0.003,0.243,1.001,0,5204,up
g26,1552276_a_at,0.013,0.003,0.252,1.001,0,5204,up
g19,1552264_a_at,0.017,0.031,1.847,1.005,0,2795,up
g15,1552257_a_at,0.008,0.017,2.084,1.003,20,2795,up
g8,1320_at,0.008,0.016,2.065,1.003,20,2795,up
g4,121_at,0.007,0.013,1.799,1.002,20,2795,up
g11,1438_at,0.007,0.013,1.831,1.002,20,2795,up
g18,1552263_at,0.007,0.014,1.987,1.002,20,2795,up
g5,1255_g_at,0.006,0.013,2.067,1.002,20,2795,up
g9,1405_i_at,0.006,0.012,1.859,1.002,20,2795,up
g20,1552266_at,0.006,0.01,1.894,1.002,20,2795,up
g14,1552256_a_at,0.005,0.009,1.817,1.002,20,2795,up
g10,1431_at,-0.021,-0.004,0.178,0.999,0,4358,lo
g16,1552258_at,-0.021,-0.004,0.187,0.999,0,4358,lo
g47,1552307_a_at,-0.02,-0.004,0.181,0.999,0,4358,lo
g62,1552326_a_at,-0.019,-0.003,0.177,0.999,0,4358,lo
g9,1405_i_at,-0.018,-0.003,0.181,0.999,0,4358,lo
g63,1552327_at,-0.018,-0.003,0.181,0.999,0,4358,lo
g37,1552291_at,-0.018,-0.003,0.179,0.999,0,4358,lo
g44,1552303_a_at,-0.018,-0.003,0.18,0.999,0,4358,lo
g7,1316_at,-0.017,-0.003,0.183,0.999,0,4358,lo
g70,1552338_at,-0.017,-0.003,0.178,0.999,0,4358,lo
g60,1552323_s_at,-0.017,-0.003,0.175,0.999,0,4358,lo
g69,1552337_s_at,-0.017,-0.003,0.177,0.999,0,4358,lo
g72,1552343_s_at,-0.017,-0.003,0.174,0.999,0,4358,lo
g22,1552271_at,-0.017,-0.003,0.174,0.999,0,4358,lo
g68,1552335_at,-0.016,-0.003,0.181,0.999,0,4358,lo
g3,117_at,-0.015,-0.003,0.177,0.999,0,4358,lo
g46,1552306_at,-0.015,-0.003,0.178,0.999,0,4358,lo
g20,1552266_at,-0.015,-0.003,0.175,0.999,0,4358,lo
g51,1552312_a_at,-0.015,-0.003,0.191,0.999,0,4358,lo
g40,1552296_at,-0.015,-0.003,0.177,0.999,0,4358,lo
g43,1552302_at,-0.015,-0.003,0.177,0.999,0,4358,lo
g58,1552321_a_at,-0.015,-0.003,0.177,0.999,0,4358,lo
g1,1007_s_at,-0.015,-0.003,0.173,0.999,0,4358,lo
g38,1552293_at,-0.014,-0.002,0.173,0.999,0,4358,lo
g12,1487_at,-0.014,-0.003,0.181,0.999,0,4358,lo
g50,1552311_a_at,-0.014,-0.003,0.181,0.999,0,4358,lo
g21,1552269_at,-0.014,-0.002,0.173,0.999,0,4358,lo
g27,1552277_a_at,-0.014,-0.002,0.18,0.999,0,4358,lo
g61,1552325_at,-0.014,-0.002,0.174,0.999,0,4358,lo
g25,1552275_s_at,-0.014,-0.002,0.181,0.999,0,4358,lo
g52,1552314_a_at,-0.014,-0.003,0.188,0.999,0,4358,lo
g28,1552278_a_at,-0.014,-0.003,0.184,0.999,0,4358,lo
g26,1552276_a_at,-0.013,-0.002,0.183,0.999,0,4358,lo
g3,117_at,-0.009,-0.018,2.081,0.996,101.333,2821,lo
g17,1552261_at,-0.008,-0.016,1.993,0.997,101.333,2821,lo
g24,1552274_at,-0.007,-0.015,2.063,0.997,101.333,2821,lo
g3,117_at,-0.01,-0.019,1.953,0.997,20.408,1917,lo
g24,1552274_at,-0.009,-0.018,1.996,0.997,20.408,1917,lo
g10,1431_at,-0.008,-0.015,1.971,0.997,20.408,1917,lo
g13,1494_f_at,-0.007,-0.014,1.97,0.997,20.408,1917,lo
g11,1438_at,-0.006,-0.012,1.966,0.998,20.408,1917,lo
g1,1007_s_at,-0.006,-0.012,1.939,0.998,20.408,1917,lo
g28,1552278_a_at,-0.006,-0.012,1.951,0.998,20.408,1917,lo
g16,1552258_at,-0.014,-0.032,2.237,0.994,31.25,4135,lo
g9,1405_i_at,-0.014,-0.026,1.898,0.995,31.25,4135,lo
g12,1487_at,-0.013,-0.025,1.977,0.996,31.25,4135,lo
g8,1320_at,-0.011,-0.022,2.074,0.996,31.25,4135,lo
g1,1007_s_at,-0.009,-0.019,2.072,0.997,31.25,4135,lo
g6,1294_at,-0.008,-0.017,1.973,0.997,31.25,4135,lo
g11,1438_at,-0.008,-0.015,1.812,0.997,31.25,4135,lo
g5,1255_g_at,-0.007,-0.014,1.944,0.997,31.25,4135,lo
g151,1552472_a_at,-0.052,-0.053,1.022,0.993,0,1962,lo
g108,1552401_a_at,-0.048,-0.049,1.006,0.994,0,1962,lo
g92,1552379_at,-0.048,-0.05,1.032,0.994,0,1962,lo
g177,1552506_at,-0.044,-0.045,1.03,0.994,0,1962,lo
g13,1494_f_at,-0.041,-0.043,1.058,0.994,0,1962,lo
g30,1552280_at,-0.04,-0.043,1.06,0.994,0,1962,lo
g136,1552449_a_at,-0.04,-0.041,1.02,0.995,0,1962,lo
g54,1552316_a_at,-0.039,-0.04,1.027,0.995,0,1962,lo
g146,1552463_at,-0.039,-0.041,1.056,0.995,0,1962,lo
g66,1552332_at,-0.037,-0.039,1.035,0.995,0,1962,lo
g169,1552496_a_at,-0.037,-0.039,1.05,0.995,0,1962,lo
