geneid,probe,score,numerator,denominator,fold-change,qval,gds,type
g36513,229043_at,4.472,23.928,5.351,1.195,25.571,4522,up
g9110,1570276_a_at,4.118,70.177,17.042,2.71,25.571,4522,up
g18663,210284_s_at,4.11,34.208,8.323,1.311,25.571,4522,up
g15498,206884_s_at,4.026,62.531,15.53,1.959,25.571,4522,up
g37872,228617_at,4.729,1.392,0.294,1.186,0,4358,up
g23322,214022_s_at,4.716,1.166,0.247,1.113,0,4358,up
g19301,209894_at,4.527,0.721,0.159,1.112,0,4358,up
g13727,204279_at,4.448,0.879,0.198,1.12,0,4358,up
g13887,204439_at,4.43,1.674,0.378,1.228,0,4358,up
g11756,202307_s_at,4.369,0.928,0.212,1.121,0,4358,up
g48990,239740_at,4.294,0.528,0.123,1.075,0,4358,up
g18455,209040_s_at,4.244,1.058,0.249,1.147,0,4358,up
g26742,217456_x_at,4.244,0.826,0.195,1.083,0,4358,up
g31259,221978_at,4.234,0.819,0.193,1.125,0,4358,up
g11879,202430_s_at,4.218,1.077,0.255,1.157,0,4358,up
g18598,209183_s_at,4.194,1.361,0.325,1.16,0,4358,up
g18106,208690_s_at,4.184,0.939,0.224,1.13,0,4358,up
g27227,217941_s_at,4.161,0.82,0.197,1.081,0,4358,up
g13019,203571_s_at,4.154,0.83,0.2,1.101,0,4358,up
g39660,230405_at,4.146,0.481,0.116,1.058,0,4358,up
g27829,218543_s_at,4.116,0.995,0.242,1.151,0,4358,up
g12271,202822_at,4.112,0.318,0.077,1.034,0,4358,up
g19170,209761_s_at,4.111,0.817,0.199,1.106,0,4358,up
g11719,202270_at,4.107,1.575,0.383,1.268,0,4358,up
g13316,203868_s_at,4.076,0.886,0.217,1.14,0,4358,up
g9038,1569110_x_at,4.072,1.103,0.271,1.131,0,4358,up
g22273,212969_x_at,4.057,0.512,0.126,1.066,0,4358,up
g34673,225415_at,4.031,1.192,0.296,1.152,0,4358,up
g19376,209969_s_at,4.009,0.909,0.227,1.119,0,4358,up
